STATION_ID,LakeID,LakeName
93123,WI-093123,Long Lake
203079,WI-203079,DeNeveu Lake
33159,WI-033159,Lake Desair
133125,WI-133125,Lake Waubesa
263056,WI-263056,Pardee Lake
363036,WI-363036,Carstens Lake
83044,WI-083044,Becker Lake
563056,WI-563056,Apple Lake
603312,WI-603312,Random Lake
663091,WI-663091,Long Lake
,aba01,Crampton
443123,WI-443123,Crescent Lake
43113,WI-043113,Namekagon Lake
33184,WI-033184,Little Dummy Lake
193027,WI-193027,Lost Lake
363310,WI-363310,Long Lake
403110,WI-403110,Blacksmith Lake
33161,WI-033161,Lower Turtle Lake
33187,WI-033187,Poskin Lake
43077,WI-043077,Eagle Lake
163125,WI-163125,Lake Minnesuing
173216,WI-173216,Tainter Lake
443100,WI-443100,Franklin Lake
643125,WI-643125,Big Sand Lake
643126,WI-643126,Black Oak Lake
133122,WI-133122,Lake Kegonsa
193012,WI-193012,Patten Lake
213138,WI-213138,Franklin Lake
353089,WI-353089,Lake Mohawksin
503139,WI-503139,Collins Lake
503140,WI-503140,Lake Emily
583086,WI-583086,Moose Lake
593045,WI-593045,Round Lake
643080,WI-643080,Long Lake
643407,WI-643407,Crab Lake
703052,WI-703052,Gilbert Lake
33171,WI-033171,Big Dummy Lake
33177,WI-033177,Granite Lake
33185,WI-033185,Lower Vermillion Lake
93053,WI-093053,Axhandle Lake
243022,WI-243022,Little Green Lake
513126,WI-513126,Round Lake
583046,WI-583046,Lac Courte Oreilles
643066,WI-643066,Gunlock Lake
663099,WI-663099,Minong Flowage
683123,WI-683123,Golden Lake
693025,WI-693025,School Section Lake
703056,WI-703056,Long Lake
33142,WI-033142,Hemlock Lake
263059,WI-263059,Turtle Flambeau Flowage
283122,WI-283122,Lake Ripley
303121,WI-303121,Lake Mary
343151,WI-343151,White Lake
373390,WI-373390,Pike Lake
383095,WI-383095,Little Newton Lake
383185,WI-383185,Newton Lake
433283,WI-433283,Kelly Lake
443210,WI-443210,Long Lake
593044,WI-593044,Grass Lake
593121,WI-593121,White Clay Lake
643401,WI-643401,Anvil Lake
663045,WI-663045,Balsam Lake
663053,WI-663053,Slim Lake
673250,WI-673250,Little Friess Lake
33143,WI-033143,Sand Lake
43035,WI-043035,Middle Eau Claire Lake
43129,WI-043129,Upper Eau Claire Lake
73100,WI-073100,Viola Lake
10028991,WI-10028991,Lake of the Pines
263057,WI-263057,Rice Lake
393017,WI-393017,Wood Lake
443140,WI-443140,Pelican Lake
443147,WI-443147,Two Sisters Lake
443386,WI-443386,Hasbrook Lake
443391,WI-443391,Two Sisters Lake
493097,WI-493097,Pipe Lake
493105,WI-493105,North Pipe Lake
583088,WI-583088,Whitefish Lake
583092,WI-583092,Clear Lake
583204,WI-583204,Connors Lake
593043,WI-593043,Pine Lake
593072,WI-593072,Shawano Lake
593076,WI-593076,Big Lake
643273,WI-643273,Wildcat Lake
643451,WI-643451,Kentuck Lake
643466,WI-643466,Imogene Lake
653121,WI-653121,Lake Beulah
653123,WI-653123,Green Lake
653124,WI-653124,Middle Lake
653125,WI-653125,Mill Lake
653126,WI-653126,Whitewater Lake
673208,WI-673208,Green Lake
673225,WI-673225,Lake Five
683201,WI-683201,Pine Lake
683325,WI-683325,Pretty Lake
693034,WI-693034,Shadow Lake
693121,WI-693121,Mirror Lake
703014,WI-703014,Pearl Lake
703027,WI-703027,Marl Lake
33210,WI-033210,Echo Lake
43037,WI-043037,Lower Eau Claire Lake
263160,WI-263160,Spider Lake
433035,WI-433035,Archibald Lake
433337,WI-433337,Grindle Lake
433368,WI-433368,Little Horn Lake
443053,WI-443053,Alva Lake
443134,WI-443134,Minocqua Lake
493063,WI-493063,Deer Lake
493122,WI-493122,Bear Trap Lake
493126,WI-493126,Bone Lake
493131,WI-493131,Wapogasset Lake
563057,WI-563057,Cedar Lake
573060,WI-573060,Dutch Hollow Lake
573124,WI-573124,Lake Redstone
583047,WI-583047,Sand Lake
643239,WI-643239,Little Crawling Stone Lake
663088,WI-663088,Long Lake
663128,WI-663128,Bean Lake
683145,WI-683145,Silver Lake
43161,WI-043161,Robinson Lake
213124,WI-213124,Metonga Lake
283123,WI-283123,Rock Lake
443264,WI-443264,Squash Lake
563058,WI-563058,Bass Lake
593003,WI-593003,Long Lake
663105,WI-663105,Deep Lake
683125,WI-683125,Lac La Belle
683137,WI-683137,North Lake
683256,WI-683256,Upper Nemahbin Lake
303121,136,Mary
33140,WI-033140,Red Cedar Lake
43126,WI-043126,Diamond Lake
43148,WI-043148,Hammil Lake
43156,WI-043156,Samoset Lake
43157,WI-043157,Lake Wilipyro
193006,WI-193006,Keyes Lake
213137,WI-213137,Butternut Lake
363064,WI-363064,Bullhead Lake
643444,WI-643444,Annabelle Lake
673123,WI-673123,Pike Lake
703018,WI-703018,Silver Lake
,135,Keesus
443060,WI-443060,Blue Lake
653217,WI-653217,Pleasant Lake
673120,WI-673120,Druid Lake
153112,WI-153112,Clark Lake
163238,WI-163238,Leader Lake
213123,WI-213123,Lake Lucerne
673202,WI-673202,Friess Lake
13038,WI-013038,Lake Sherwood
,134,Crystal2
,30,Fish Lake
,114,Delavan
,31,Lake Mendota
,32,Lake Monona
,116,Powers
,26,Allequash
,27,Big Muskellunge
,29,Crystal Lake
,33,Sparkling
,34,Trout Bog
,35,Trout
673206,WI-673206,Cedar Lake
683129,WI-683129,Nagawicka Lake
523120,WI-523120,Browns Lake
683143,WI-683143,Pewaukee Lake
